category,count,share,platform_name
STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,52794251,0.4824592349289687,TikTok
STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,40580132,0.37084074624027835,TikTok
STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,6629817,0.060586453580695185,TikTok
STATEMENT_CATEGORY_VIOLENCE,4883518,0.04462793416733665,TikTok
STATEMENT_CATEGORY_SCAMS_AND_FRAUD,1610669,0.014719067298895994,TikTok
STATEMENT_CATEGORY_PROTECTION_OF_MINORS,1388702,0.012690626190801128,TikTok
STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,715717,0.006540565870432686,TikTok
STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,474311,0.004334481839289548,TikTok
STATEMENT_CATEGORY_ANIMAL_WELFARE,179842,0.001643482615713131,TikTok
STATEMENT_CATEGORY_SELF_HARM,166329,0.001519994328293443,TikTok
STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,2033,1.8578530920167677e-05,TikTok
STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,1544,1.4109813940353614e-05,TikTok
STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,268,2.4491127823929847e-06,TikTok
STATEMENT_CATEGORY_UNSAFE_AND_ILLEGAL_PRODUCTS,249,2.2754816522979595e-06,TikTok
STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,15207,0.2985687079103921,X
STATEMENT_CATEGORY_SCAMS_AND_FRAUD,12726,0.24985765613649305,X
STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,9955,0.1954528498223156,X
STATEMENT_CATEGORY_PROTECTION_OF_MINORS,5549,0.10894704808277542,X
STATEMENT_CATEGORY_VIOLENCE,2899,0.05691791176643826,X
STATEMENT_CATEGORY_UNSAFE_AND_ILLEGAL_PRODUCTS,1501,0.02947008815502719,X
STATEMENT_CATEGORY_SELF_HARM,1145,0.022480513615926807,X
STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,1083,0.021263228162487973,X
STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,682,0.013390139987827145,X
STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,91,0.001786660907466672,X
STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,77,0.0015117899986256454,X
STATEMENT_CATEGORY_ANIMAL_WELFARE,17,0.00033377181787838927,X
STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,1,1.9633636345787604e-05,X
